iter	Passed	Remaining
0	52	5177
1	52	2564
2	52	1695
3	52	1259
4	52	997
5	52	823
6	52	698
7	52	605
8	52	532
9	52	474
10	52	426
11	52	387
12	52	353
13	52	324
14	52	299
15	52	277
16	52	258
17	53	241
18	53	226
19	53	212
20	53	199
21	53	188
22	53	178
23	53	168
24	53	159
25	53	151
26	53	144
27	53	137
28	53	130
29	53	124
30	53	119
31	53	113
32	53	108
33	53	104
34	53	99
35	53	95
36	53	91
37	53	87
38	53	84
39	53	80
40	53	77
41	53	74
42	54	71
43	54	68
44	54	66
45	54	63
46	54	61
47	54	58
48	54	56
49	54	54
50	54	52
51	54	50
52	54	48
53	54	46
54	54	44
55	54	42
56	54	41
57	54	39
58	54	37
59	54	36
60	54	34
61	54	33
62	54	32
63	54	30
64	54	29
65	54	28
66	54	27
67	54	25
68	54	24
69	55	23
70	55	22
71	55	21
72	55	20
73	55	19
74	55	18
75	55	17
76	55	16
77	55	15
78	55	14
79	55	13
80	55	13
81	55	12
82	55	11
83	55	10
84	55	9
85	55	9
86	55	8
87	55	7
88	55	6
89	55	6
90	55	5
91	55	4
92	55	4
93	55	3
94	56	2
95	56	2
96	56	1
97	56	1
98	56	0
99	56	0
